transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,georeference
2024-01-01T01:00:00.000,subway,34,53 St (R),Brooklyn,omny,OMNY - Full Fare,20.0,0.0,40.64507,-74.01403,"{'type': 'Point', 'coordinates': [-74.01403, 40.64507]}"
2024-01-01T01:00:00.000,subway,449,111 St (7),Queens,omny,OMNY - Full Fare,9.0,0.0,40.75173,-73.85533,"{'type': 'Point', 'coordinates': [-73.85533, 40.75173]}"
2024-01-01T01:00:00.000,subway,429,"Freeman St (2,5)",Bronx,metrocard,Metrocard - Full Fare,7.0,0.0,40.829994,-73.89187,"{'type': 'Point', 'coordinates': [-73.89187, 40.829994]}"
2024-01-01T01:00:00.000,subway,328,WTC Cortlandt (1),Manhattan,metrocard,Metrocard - Unlimited 7-Day,30.0,0.0,40.711834,-74.01219,"{'type': 'Point', 'coordinates': [-74.01219, 40.711834]}"
2024-01-01T01:00:00.000,subway,360,Pelham Bay Park (6),Bronx,metrocard,Metrocard - Unlimited 7-Day,3.0,0.0,40.852463,-73.82812,"{'type': 'Point', 'coordinates': [-73.82812, 40.852463]}"
2024-01-01T01:00:00.000,subway,270,"46 St (M,R)",Queens,metrocard,Metrocard - Unlimited 30-Day,1.0,0.0,40.756313,-73.91333,"{'type': 'Point', 'coordinates': [-73.91333, 40.756313]}"
2024-01-01T01:00:00.000,subway,55,"Brighton Beach (B,Q)",Brooklyn,metrocard,Metrocard - Fair Fare,6.0,0.0,40.57762,-73.96137,"{'type': 'Point', 'coordinates': [-73.96137, 40.57762]}"
2024-01-01T01:00:00.000,subway,52,Avenue U (Q),Brooklyn,metrocard,Metrocard - Unlimited 30-Day,2.0,0.0,40.5993,-73.95593,"{'type': 'Point', 'coordinates': [-73.95593, 40.5993]}"
2024-01-01T01:00:00.000,subway,123,Grand St (L),Brooklyn,omny,OMNY - Seniors & Disability,1.0,0.0,40.711926,-73.94067,"{'type': 'Point', 'coordinates': [-73.94067, 40.711926]}"
2024-01-01T01:00:00.000,subway,384,Burnside Av (4),Bronx,metrocard,Metrocard - Full Fare,3.0,0.0,40.853455,-73.907684,"{'type': 'Point', 'coordinates': [-73.907684, 40.853455]}"
2024-01-01T01:00:00.000,subway,119,1 Av (L),Manhattan,metrocard,Metrocard - Other,8.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
2024-01-01T01:00:00.000,subway,101,"Marcy Av (M,J,Z)",Brooklyn,metrocard,Metrocard - Seniors & Disability,2.0,1.0,40.70836,-73.957756,"{'type': 'Point', 'coordinates': [-73.957756, 40.70836]}"
2024-01-01T01:00:00.000,subway,630,"Myrtle-Wyckoff Avs (L,M)",Brooklyn,metrocard,Metrocard - Other,7.0,0.0,40.699814,-73.91158,"{'type': 'Point', 'coordinates': [-73.91158, 40.699814]}"
2024-01-01T01:00:00.000,subway,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,126.0,0.0,40.749718,-73.98782,"{'type': 'Point', 'coordinates': [-73.98782, 40.749718]}"
2024-01-01T01:00:00.000,subway,129,Halsey St (L),Queens,metrocard,Metrocard - Fair Fare,4.0,0.0,40.695602,-73.90408,"{'type': 'Point', 'coordinates': [-73.90408, 40.695602]}"
2024-01-01T01:00:00.000,subway,123,Grand St (L),Brooklyn,metrocard,Metrocard - Other,4.0,0.0,40.711926,-73.94067,"{'type': 'Point', 'coordinates': [-73.94067, 40.711926]}"
2024-01-01T01:00:00.000,subway,231,"Grand St (B,D)",Manhattan,metrocard,Metrocard - Fair Fare,6.0,0.0,40.718266,-73.99375,"{'type': 'Point', 'coordinates': [-73.99375, 40.718266]}"
2024-01-01T01:00:00.000,subway,625,"Delancey St (F)/Essex St (J,M,Z)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,41.0,0.0,40.718613,-73.987434,"{'type': 'Point', 'coordinates': [-73.987434, 40.718613]}"
2024-01-01T01:00:00.000,subway,621,"Broadway Junction (A,C,J,L,Z)",Brooklyn,metrocard,Metrocard - Unlimited 7-Day,1.0,0.0,40.678333,-73.90532,"{'type': 'Point', 'coordinates': [-73.90532, 40.678333]}"
2024-01-01T01:00:00.000,tram,TRAM1,RI Tramway (Manhattan),Manhattan,metrocard,Metrocard - Full Fare,20.0,9.0,40.761337,-73.96416,"{'type': 'Point', 'coordinates': [-73.96416, 40.761337]}"
2024-01-01T01:00:00.000,subway,609,"Bryant Pk (B,D,F,M)/5 Av (7)",Manhattan,omny,OMNY - Full Fare,842.0,2.0,40.754223,-73.981964,"{'type': 'Point', 'coordinates': [-73.981964, 40.754223]}"
2024-01-01T01:00:00.000,subway,456,61 St-Woodside (7),Queens,metrocard,Metrocard - Unlimited 7-Day,13.0,0.0,40.74563,-73.902985,"{'type': 'Point', 'coordinates': [-73.902985, 40.74563]}"
2024-01-01T01:00:00.000,subway,276,"5 Av/53 St (E,M)",Manhattan,metrocard,Metrocard - Other,9.0,0.0,40.760166,-73.97523,"{'type': 'Point', 'coordinates': [-73.97523, 40.760166]}"
2024-01-01T01:00:00.000,tram,TRAM1,RI Tramway (Manhattan),Manhattan,metrocard,Metrocard - Unlimited 30-Day,22.0,0.0,40.761337,-73.96416,"{'type': 'Point', 'coordinates': [-73.96416, 40.761337]}"
