hour,ridership
0,14.96551724137931
1,6.275862068965517
2,6.379310344827586
3,14.206896551724139
4,46.03448275862069
5,204.8
6,404.23333333333335
7,532.0
8,365.1666666666667
9,196.06666666666666
10,148.1
11,128.1
12,140.13333333333333
13,163.2
14,196.56666666666666
15,188.8
16,165.16666666666666
17,153.33333333333334
18,113.73333333333333
19,79.63333333333334
20,59.46666666666667
21,48.53333333333333
22,36.6
23,28.633333333333333
