transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,georeference,year,month
1/1/2023 6:00,subway,444,Gun Hill Rd (5),Bronx,omny,OMNY - Full Fare,7,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 6:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 7-Day,10,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 7:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Full Fare,11,6,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 7:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 30-Day,12,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 7:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 7-Day,7,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 7:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Fair Fare,3,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 7:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Other,1,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 7:00,subway,444,Gun Hill Rd (5),Bronx,omny,OMNY - Full Fare,17,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 8:00,subway,444,Gun Hill Rd (5),Bronx,omny,OMNY - Full Fare,21,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 8:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 7-Day,9,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 8:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Other,2,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 8:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 30-Day,4,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 8:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Full Fare,18,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 8:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Fair Fare,5,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 8:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Seniors & Disability,3,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 9:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 7-Day,7,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 9:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Fair Fare,2,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 9:00,subway,444,Gun Hill Rd (5),Bronx,omny,OMNY - Full Fare,14,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 9:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Other,3,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 9:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Full Fare,10,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 9:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 30-Day,3,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 10:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Fair Fare,3,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 10:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Other,6,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 10:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Full Fare,13,3,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 10:00,subway,444,Gun Hill Rd (5),Bronx,omny,OMNY - Full Fare,19,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 10:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Seniors & Disability,3,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 10:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 30-Day,3,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 10:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 7-Day,13,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 11:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Full Fare,12,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 11:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Seniors & Disability,1,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 11:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 30-Day,4,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 11:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 7-Day,7,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 11:00,subway,444,Gun Hill Rd (5),Bronx,omny,OMNY - Full Fare,15,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 11:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Other,1,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 12:00,subway,444,Gun Hill Rd (5),Bronx,omny,OMNY - Full Fare,26,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 12:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Seniors & Disability,3,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 12:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 30-Day,6,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 12:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 7-Day,13,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 12:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Other,4,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 12:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Fair Fare,2,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 12:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Full Fare,12,2,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 13:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 30-Day,6,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 13:00,subway,444,Gun Hill Rd (5),Bronx,omny,OMNY - Full Fare,15,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 13:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 7-Day,11,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 13:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Full Fare,16,2,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 13:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Other,3,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 13:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Seniors & Disability,2,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 14:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Full Fare,27,6,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 14:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 7-Day,6,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 14:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Fair Fare,4,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 14:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Seniors & Disability,2,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 14:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Other,6,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 14:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 30-Day,8,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 14:00,subway,444,Gun Hill Rd (5),Bronx,omny,OMNY - Full Fare,28,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 15:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Other,2,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 15:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Full Fare,11,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 15:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Fair Fare,2,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 15:00,subway,444,Gun Hill Rd (5),Bronx,omny,OMNY - Full Fare,16,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 15:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 30-Day,3,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 15:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 7-Day,11,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 16:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Fair Fare,4,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 16:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Seniors & Disability,1,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 16:00,subway,444,Gun Hill Rd (5),Bronx,omny,OMNY - Full Fare,21,5,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 16:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Other,5,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 16:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 30-Day,2,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 16:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Full Fare,14,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 16:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 7-Day,7,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 17:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 7-Day,5,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 17:00,subway,444,Gun Hill Rd (5),Bronx,omny,OMNY - Full Fare,16,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 17:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Seniors & Disability,1,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 17:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 30-Day,3,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 17:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Other,1,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 17:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Fair Fare,3,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 17:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Full Fare,15,2,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 18:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Full Fare,11,2,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 18:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 7-Day,8,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 18:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Unlimited 30-Day,2,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 18:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Fair Fare,2,1,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 18:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Other,1,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 18:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Seniors & Disability,1,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 18:00,subway,444,Gun Hill Rd (5),Bronx,omny,OMNY - Full Fare,15,3,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
1/1/2023 19:00,subway,444,Gun Hill Rd (5),Bronx,metrocard,Metrocard - Other,1,0,40.869526,-73.84638,"{'type': 'Point', 'coordinates': [-73.84638, 40.869526]}",2023,1
