station_complex,ridership,percentage
Aqueduct Racetrack (A),"208,555",0.017921031
Aqueduct-N Conduit Av (A),"168,395",0.014470102
Astor Pl (6),"3,713,104",0.319065246
"Astoria Blvd (N,W)","2,360,702",0.202853991
"Astoria-Ditmars Blvd (N,W)","3,287,685",0.282509195
Atlantic Av (L),"363,641",0.031247497
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)","9,881,275",0.849093221
Avenue H (Q),"655,838",0.056355845
Avenue I (F),"383,992",0.032996248
Avenue J (Q),"1,179,180",0.101326372
Avenue M (Q),"1,216,963",0.104573047
Avenue N (F),"604,358",0.051932193
Avenue P (F),"539,044",0.046319792
Avenue U (F),"392,625",0.033738078
Avenue U (Q),"1,597,148",0.137242162
Avenue X (F),"514,381",0.044200513
Bay 50 St (D),"581,310",0.049951689
Bay Pkwy (F),"282,177",0.024247334
Bay Pkwy (N),"1,602,722",0.137721133
Bay Ridge Av (R),"1,779,268",0.152891646
Bay Ridge-95 St (R),"1,206,378",0.103663483
Baychester Av (5),"546,739",0.04698102
"Beach 105 St (A,S)","65,388",0.005618759
Beach 25 St (A),"324,339",0.027870295
Beach 36 St (A),"173,449",0.014904389
Beach 44 St (A),"146,015",0.012546999
Beach 60 St (A),"359,258",0.030870868
Beach 67 St (A),"483,045",0.041507825
"Beach 90 St (A,S)","176,058",0.015128579
"Beach 98 St (A,S)","100,989",0.008677936
Bedford Av (L),"8,393,178",0.72122176
"Bedford Park Blvd (B,D)","1,217,650",0.10463208
Bedford Park Blvd-Lehman College (4),"1,198,089",0.102951213
Bedford-Nostrand Avs (G),"1,998,617",0.1717402
"Bergen St (2,3)","1,002,625",0.086155085
"Bergen St (F,G)","2,716,147",0.233397209
Beverley Rd (Q),"798,167",0.068586107
"Beverly Rd (2,5)","959,932",0.082486496
"Bowery (J,Z)","887,867",0.076293985
"Bowling Green (4,5)","4,971,473",0.42719629
"Briarwood (E,F)","1,065,136",0.091526626
"Brighton Beach (B,Q)","2,665,285",0.229026662
"Broad Channel (A,S)","58,115",0.004993794
"Broad St (J,Z)","1,244,732",0.106959224
Broadway (G),"1,117,390",0.096016787
"Broadway (N,W)","2,761,954",0.237333382
"Broadway Junction (A,C,J,L,Z)","1,763,154",0.151506978
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)","9,258,912",0.795613867
"Bronx Park East (2,5)","456,438",0.039221498
Brook Av (6),"1,096,478",0.094219829
"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)","5,932,324",0.509761756
"Bryant Pk (B,D,F,M)/5 Av (7)","10,859,750",0.933173109
Buhre Av (6),"761,594",0.065443407
"Burke Av (2,5)","536,131",0.04606948
Burnside Av (4),"1,896,084",0.162929589
Bushwick Av-Aberdeen St (L),"548,725",0.047151676
Canal St (1),"1,146,685",0.098534092
"Canal St (A,C,E)","3,961,145",0.34037929
"Canal St (J,N,Q,R,W,Z,6)","10,494,250",0.901765869
Canarsie-Rockaway Pkwy (L),"701,932",0.06031668
"Carroll St (F,G)","2,624,419",0.225515066
Castle Hill Av (6),"1,063,141",0.091355196
"Cathedral Pkwy (110 St) (C,B)","1,687,762",0.145028579
Central Av (M),"819,533",0.070422078
"Central Park North (110 St) (2,3)","1,608,334",0.138203369
"Chambers St (1,2,3)","3,795,294",0.326127793
"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)","12,332,071",1.059688946
"Chauncey St (J,Z)","622,754",0.053512953
Christopher St-Sheridan Sq (1),"2,814,038",0.241808936
"Church Av (2,5)","1,969,028",0.169197632
"Church Av (B,Q)","3,217,427",0.276471959
"Church Av (F,G)","2,159,843",0.185594273
"City Hall (R,W)","1,145,719",0.098451084
"Clark St (2,3)","1,554,296",0.13355991
Classon Av (G),"1,346,021",0.115662939
Cleveland St (J),"442,621",0.03803421
Clinton-Washington Avs (C),"1,599,547",0.137448306
Clinton-Washington Avs (G),"1,273,875",0.109463468
"Coney Island-Stillwell Av (D,F,N,Q)","3,424,667",0.294279993
Cortelyou Rd (Q),"1,298,126",0.111547345
"Court Sq (E,G,M,7)","5,423,624",0.466049409
"Court St (R)/Borough Hall (2,3,4,5)","6,272,687",0.539008985
"Crescent St (J,Z)","765,119",0.065746309
"Crown Hts-Utica Av (3,4)","5,194,539",0.446364245
Cypress Av (6),"502,629",0.043190669
Cypress Hills (J),"290,041",0.024923084
"DeKalb Av (B,Q,R)","4,349,937",0.373788
DeKalb Av (L),"2,769,668",0.237996243
"Delancey St (F)/Essex St (J,M,Z)","7,101,546",0.610232442
Ditmas Av (F),"844,447",0.072562926
Dyckman St (1),"1,514,189",0.130113534
Dyckman St (A),"1,303,735",0.112029323
E 143 St-St Mary's St (6),"257,585",0.022134156
E 149 St (6),"967,221",0.083112837
"E 180 St (2,5)","1,750,060",0.150381816
East 105 St (L),"608,613",0.052297823
East Broadway (F),"3,732,395",0.320722912
Eastchester-Dyre Av (5),"774,170",0.066524057
"Eastern Pkwy-Brooklyn Museum (2,3)","1,124,452",0.096623621
Elder Av (6),"1,207,269",0.103740046
"Elmhurst Av (M,R)","2,686,104",0.230815628
"Euclid Av (A,C)","2,203,427",0.189339425
Far Rockaway-Mott Av (A),"868,702",0.074647146
"Flatbush Av-Brooklyn College (2,5)","3,797,322",0.326302058
Flushing Av (G),"729,114",0.062652416
"Flushing Av (M,J)","1,619,466",0.139159937
Flushing-Main St (7),"14,026,406",1.20528234
Fordham Rd (4),"2,265,068",0.194636207
"Fordham Rd (B,D)","1,862,608",0.160053012
Forest Av (M),"923,592",0.079363818
"Forest Hills-71 Av (E,F,M,R)","5,693,406",0.489231647
Fort Hamilton Pkwy (D),"871,151",0.074857588
"Fort Hamilton Pkwy (F,G)","1,349,339",0.115948053
"Franklin Av (2,3,4,5)/Botanic Garden (S)","3,344,124",0.287358971
"Franklin Av (C,S)","1,227,926",0.105515092
Franklin St (1),"1,329,788",0.114268045
"Freeman St (2,5)","825,447",0.070930265
Fresh Pond Rd (M),"1,227,332",0.10546405
"Fulton St (A,C,J,Z,2,3,4,5)","17,917,173",1.539614082
Fulton St (G),"1,545,754",0.1328259
"Gates Av (J,Z)","1,459,387",0.125404425
Graham Av (L),"2,166,502",0.186166478
"Grand Army Plaza (2,3)","1,657,513",0.142429297
"Grand Av-Newtown (M,R)","3,912,625",0.33620999
"Grand Central-42 St (S,4,5,6,7)","30,796,102",2.646294274
"Grand St (B,D)","5,803,884",0.498724968
Grand St (L),"1,515,759",0.130248444
Grant Av (A),"1,187,575",0.10204775
Greenpoint Av (G),"2,463,422",0.211680671
"Gun Hill Rd (2,5)","1,224,503",0.105220955
Gun Hill Rd (5),"937,498",0.080558753
Halsey St (J),"1,255,370",0.107873342
Halsey St (L),"1,721,414",0.147920279
Harlem-148 St (3),"706,021",0.060668046
"Hewes St (M,J)","615,305",0.052872864
"High St (A,C)","2,244,635",0.192880409
Houston St (1),"2,747,202",0.23606575
Howard Beach-JFK Airport (A),"676,007",0.058088957
"Hoyt St (2,3)","1,704,888",0.146500208
"Hoyt-Schermerhorn Sts (A,C,G)","2,827,090",0.242930488
Hunters Point Av (7),"1,056,930",0.090821488
Hunts Point Av (6),"2,138,164",0.183731407
"Intervale Av (2,5)","579,699",0.049813257
Inwood-207 St (A),"1,730,259",0.148680326
"Jackson Av (2,5)","921,715",0.079202528
"Jamaica Center-Parsons/Archer (E,J,Z)","5,940,341",0.510450653
Jamaica-179 St (F),"4,066,601",0.349441073
Jamaica-Van Wyck (E),"1,011,077",0.086881362
"Jay St-MetroTech (A,C,F,R)","7,583,613",0.651656228
Jefferson St (L),"2,078,546",0.178608461
Junction Blvd (7),"6,610,159",0.568007792
Junius St (3),"496,691",0.042680419
"Kew Gardens-Union Tpke (E,F)","5,081,110",0.436617345
"Kings Hwy (B,Q)","4,330,573",0.372124061
Kings Hwy (F),"727,282",0.062494993
Kingsbridge Rd (4),"1,952,122",0.167744907
"Kingsbridge Rd (B,D)","1,141,044",0.098049364
Kingston Av (3),"1,015,750",0.08728291
Kingston-Throop Avs (C),"1,450,290",0.124622724
Knickerbocker Av (M),"856,561",0.073603876
Kosciuszko St (J),"1,211,895",0.104137556
Lafayette Av (C),"1,272,069",0.109308279
"Lexington Av (N,R,W)/59 St (4,5,6)","11,702,736",1.005610491
"Lexington Av-53 St (E,M)/51 St (6)","11,324,993",0.973151217
"Lexington Av/63 St (F,Q)","3,749,974",0.322233467
Liberty Av (C),"501,034",0.043053611
Livonia Av (L),"600,876",0.051632986
Longwood Av (6),"690,398",0.059325569
Lorimer St (L)/Metropolitan Av (G),"3,939,401",0.338510838
"Lorimer St (M,J)","897,373",0.077110831
Marble Hill-225 St (1),"1,071,914",0.092109056
"Marcy Av (M,J,Z)","2,878,914",0.247383699
Mets-Willets Point (7),"1,903,857",0.163597519
Middle Village-Metropolitan Av (M),"829,098",0.071243993
Middletown Rd (6),"420,110",0.036099851
Montrose Av (L),"1,680,795",0.144429908
Morgan Av (L),"1,770,628",0.152149215
Morris Park (5),"525,361",0.045144019
Morrison Av-Soundview (6),"1,213,141",0.104244624
Mosholu Pkwy (4),"1,736,402",0.149208191
Mt Eden Av (4),"987,486",0.084854198
"Myrtle Av (M,J,Z)","2,647,994",0.227540854
Myrtle-Willoughby Avs (G),"1,263,771",0.108595236
"Myrtle-Wyckoff Avs (L,M)","5,066,254",0.435340776
Nassau Av (G),"2,325,764",0.199851785
Neck Rd (Q),"967,936",0.083174276
Neptune Av (F),"324,506",0.027884645
"Nereid Av (2,5)","586,423",0.050391047
"Nevins St (2,3,4,5)","2,177,347",0.187098383
New Lots Av (3),"1,137,282",0.097726097
New Lots Av (L),"713,759",0.061332969
New Utrecht Av (N)/62 St (D),"1,201,352",0.103231601
"Newkirk Av-Little Haiti (2,5)","1,446,997",0.124339758
"Newkirk Plaza (B,Q)","2,183,374",0.187616281
"Northern Blvd (M,R)","1,416,977",0.121760154
"Norwood Av (J,Z)","465,524",0.040002254
Norwood-205 St (D),"1,210,541",0.104021208
Nostrand Av (3),"814,798",0.070015201
"Nostrand Av (A,C)","3,801,475",0.326658923
Ocean Pkwy (Q),"751,550",0.064580331
Ozone Park-Lefferts Blvd (A),"1,348,772",0.115899331
Park Pl (S),"349,357",0.030020079
Parkchester (6),"3,337,200",0.286763995
Parkside Av (Q),"1,354,108",0.116357851
Parsons Blvd (F),"1,604,024",0.137833013
Pelham Bay Park (6),"1,266,452",0.108825613
"Pelham Pkwy (2,5)","1,701,902",0.146243623
Pelham Pkwy (5),"571,395",0.049099698
Pennsylvania Av (3),"869,356",0.074703344
"President St-Medgar Evers College (2,5)","750,575",0.06449655
"Prince St (R,W)","3,113,852",0.267571809
"Prospect Av (2,5)","1,251,105",0.107506853
Prospect Av (R),"1,300,647",0.111763973
"Prospect Park (B,Q,S)","2,212,368",0.190107721
"Queens Plaza (E,M,R)","3,743,259",0.32165645
"Queensboro Plaza (7,N,W)","3,596,234",0.309022663
RI Tramway (Manhattan),"1,551,676",0.133334774
RI Tramway (Roosevelt),"1,392,136",0.119625579
Ralph Av (C),"1,081,037",0.092892991
Rector St (1),"1,637,562",0.140714917
"Rector St (R,W)","1,129,750",0.097078876
Rockaway Av (3),"847,191",0.072798716
Rockaway Av (C),"1,090,250",0.09368466
Rockaway Blvd (A),"1,548,924",0.133098296
"Rockaway Park-Beach 116 St (A,S)","160,773",0.013815147
Roosevelt Island (F),"1,690,306",0.145247184
Saratoga Av (3),"952,797",0.081873389
Seneca Av (M),"618,119",0.053114669
"Sheepshead Bay (B,Q)","2,846,849",0.244628369
Shepherd Av (C),"567,490",0.048764144
"Simpson St (2,5)","1,348,604",0.115884895
"Smith-9 Sts (F,G)","968,943",0.083260807
"South Ferry (1)/Whitehall St (R,W)","6,114,052",0.525377556
Spring St (6),"2,952,185",0.253679841
"Spring St (C,E)","2,936,461",0.252328685
St George (SIR),"1,924,118",0.165338537
St Lawrence Av (6),"812,345",0.069804416
"Steinway St (M,R)","2,731,458",0.234712876
"Sterling St (2,5)","1,236,413",0.106244376
Sutphin Blvd (F),"890,674",0.07653519
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)","6,003,128",0.51584591
Sutter Av (L),"484,813",0.041659749
Sutter Av-Rutland Rd (3),"1,284,255",0.110355416
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)","43,219,338",3.713816984
Tompkinsville (SIR),"149,712",0.01286468
"Tremont Av (B,D)","1,201,110",0.103210806
Union St (R),"1,648,848",0.141684718
"Utica Av (A,C)","2,964,524",0.254740125
Van Cortlandt Park-242 St (1),"1,453,541",0.124902081
Van Siclen Av (3),"497,459",0.042746413
Van Siclen Av (C),"531,178",0.045643871
"Van Siclen Av (J,Z)","515,008",0.04425439
Vernon Blvd-Jackson Av (7),"3,656,130",0.314169497
"W 4 St-Wash Sq (A,C,E,B,D,F,M)","10,075,461",0.865779531
"W 8 St-NY Aquarium (F,Q)","649,183",0.055783984
WTC Cortlandt (1),"3,318,392",0.285147833
Wakefield-241 St (2),"867,064",0.074506394
"Wall St (2,3)","3,776,805",0.324539042
"Wall St (4,5)","3,397,072",0.291908768
"West Farms Sq-E Tremont Av (2,5)","1,010,420",0.086824906
Westchester Sq-E Tremont Av (6),"781,470",0.067151342
Whitlock Av (6),"386,540",0.033215197
Wilson Av (L),"953,395",0.081924775
"Winthrop St (2,5)","1,635,212",0.140512983
"Woodhaven Blvd (J,Z)","563,107",0.048387514
"Woodhaven Blvd (M,R)","4,249,922",0.365193759
Woodlawn (4),"1,336,162",0.11481576
York St (F),"3,323,345",0.285573442
Zerega Av (6),"504,740",0.043372066
"121 St (J,Z)","485,548",0.041722907
18 Av (D),"1,335,967",0.114799004
20 Av (D),"1,120,175",0.0962561
20 Av (N),"927,727",0.079719136
25 Av (D),"966,982",0.083092299
"5 Av/59 St (N,R,W)","3,463,898",0.297651094
86 St (N),"563,918",0.048457203
Avenue U (N),"883,208",0.07589364
Bay Pkwy (D),"1,722,489",0.148012654
Cathedral Pkwy (110 St) (1),"2,898,380",0.249056403
Fort Hamilton Pkwy (N),"1,532,547",0.131691029
Kings Hwy (N),"1,258,720",0.108161206
